,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license
10,rust-i2cdev,rust-embedded/rust-i2cdev,[],character-device-drivers,https://github.com/rust-embedded/rust-i2cdev,https://github.com/rust-embedded/rust-i2cdev,2015-08-19 04:21:00,2025-03-04 21:00:16,2025-03-04 20:56:31,219,4.0,54.0,19,60.0,5.0,26.0,219.0,2023-08-09 07:58:32,0.6.0,,,3.0,Rust library for interfacing with i2c devices under Linux.,1026.0,1026.0,29.0,21,True,1,Apache-2.0
11,rosrust,adnanademovic/rosrust,[],robotics,https://github.com/adnanademovic/rosrust,https://github.com/adnanademovic/rosrust,2016-07-12 11:05:32,2025-02-03 22:32:01,2025-02-03 22:31:20,708,4.0,75.0,23,102.0,42.0,72.0,758.0,2020-08-24 14:04:42,0.9.5,,,19.0,Pure Rust implementation of a ROS client library.,234.0,234.0,19.0,20,True,1,MIT
12,actions-rust-cross,houseabsolute/actions-rust-cross,[],ci,https://github.com/houseabsolute/actions-rust-cross,https://github.com/houseabsolute/actions-rust-cross,2023-03-05 16:57:05,2025-04-12 14:17:25,2025-04-12 14:17:24,123,24.0,20.0,2,8.0,4.0,30.0,162.0,2025-04-12 14:16:00,1.0.4,,,23.0,GitHub Action to compile Rust with cross.,1008.0,1008.0,7.0,19,True,1,Apache-2.0
13,ros2_rust,ros2-rust/ros2_rust,[],robotics,https://github.com/ros2-rust/ros2_rust,https://github.com/ros2-rust/ros2_rust,2017-11-26 10:45:09,2025-03-13 16:30:33,2025-03-13 16:30:33,276,9.0,148.0,39,276.0,51.0,123.0,1103.0,2023-11-28 15:50:17,0.4.1,,,5.0,Rust bindings for ROS 2.,,,47.0,18,True,3,Apache-2.0
14,gpio-cdev,rust-embedded/gpio-cdev,[],character-device-drivers,https://github.com/rust-embedded/gpio-cdev,https://github.com/rust-embedded/gpio-cdev,2018-03-03 23:48:44,2024-05-25 03:14:21,2023-09-12 07:00:42,127,,37.0,21,47.0,11.0,25.0,218.0,2023-09-12 07:13:07,0.6.0,,,3.0,Rust interface to the Linux GPIO Character Device API (/dev/gpiochip...).,488.0,488.0,17.0,18,False,3,Apache-2.0
15,rust-spidev,rust-embedded/rust-spidev,[],character-device-drivers,https://github.com/rust-embedded/rust-spidev,https://github.com/rust-embedded/rust-spidev,2015-04-23 05:40:20,2025-03-04 10:07:15,2025-03-04 10:04:36,150,8.0,31.0,16,37.0,1.0,10.0,125.0,2025-03-04 10:07:34,0.7.0,,,5.0,Rust library providing access to spidev devices under Linux.,807.0,807.0,16.0,18,True,3,Apache-2.0
16,rs-matter,project-chip/rs-matter,[],home-automation-protocols,https://github.com/project-chip/rs-matter,https://github.com/project-chip/rs-matter,2022-12-12 16:43:43,2025-04-22 07:29:10,2025-04-22 07:29:10,555,22.0,46.0,45,174.0,26.0,31.0,376.0,,,,,,Rust implementation of the Matter protocol. Status: Experimental.,6.0,6.0,27.0,17,True,1,Apache-2.0
17,embedded-hal-mock,dbrgn/embedded-hal-mock,[],hal,https://github.com/dbrgn/embedded-hal-mock,https://github.com/dbrgn/embedded-hal-mock,2018-03-25 13:08:52,2025-04-26 20:05:33,2025-04-26 20:05:31,183,2.0,24.0,8,101.0,9.0,22.0,127.0,,,,,,Mocks for testing embedded-hal based drivers without hardware access.,921.0,921.0,24.0,17,True,3,Apache-2.0
18,rust-ocpp,codelabsab/rust-ocpp,[],smart-grid-protocols,https://github.com/codelabsab/rust-ocpp,https://github.com/codelabsab/rust-ocpp,2021-06-04 08:32:04,2025-04-29 05:58:41,2025-04-11 13:26:32,299,4.0,24.0,8,140.0,,23.0,87.0,2025-04-11 13:27:04,3.0.1,,,9.0,Libraries for ocpp 1.6 and 2.0.1.,23.0,23.0,10.0,17,False,1,Apache-2.0
19,rugix,silitics/rugix,[],tools,https://github.com/silitics/rugix,https://github.com/silitics/rugix,2023-05-18 20:21:06,2025-04-29 13:49:57,2025-04-27 06:38:36,721,225.0,6.0,4,6.0,7.0,49.0,73.0,2025-04-25 14:31:49,0.8.6,126.0,7.0,27.0,A suite of open-source tools to build and deploy reliable embedded Linux devices at scale with efficient and secure..,,,4.0,17,False,3,Apache-2.0
20,dbus-rs,diwic/dbus-rs,['dbus'],ipc,https://github.com/diwic/dbus-rs,https://github.com/diwic/dbus-rs,2014-11-23 12:14:49,2025-04-07 20:03:24,2025-04-07 20:03:21,1140,4.0,135.0,10,193.0,14.0,248.0,615.0,,,,,,D-Bus binding for the Rust language.,4.0,4.0,93.0,15,False,2,
21,r2r,sequenceplanner/r2r,[],robotics,https://github.com/sequenceplanner/r2r,https://github.com/sequenceplanner/r2r,2019-08-20 09:10:16,2025-04-22 08:30:50,2025-04-22 08:27:18,346,3.0,48.0,13,64.0,7.0,51.0,357.0,,,,,,Minimal ROS 2 Rust bindings.,146.0,146.0,29.0,15,False,3,
22,meta-rust,meta-rust/meta-rust,[],yocto-layers,https://github.com/meta-rust/meta-rust,https://github.com/meta-rust/meta-rust,2014-10-20 21:31:22,2025-03-13 14:16:49,2025-03-13 14:15:16,954,4.0,127.0,23,277.0,63.0,101.0,222.0,,,,,,OpenEmbedded/Yocto layer for Rust and Cargo.,,,64.0,15,True,1,MIT
23,rustbus,KillingSpark/rustbus,['dbus'],ipc,https://github.com/KillingSpark/rustbus,https://github.com/KillingSpark/rustbus,2020-01-22 11:05:05,2024-06-22 14:58:39,2024-06-22 14:58:38,679,,15.0,5,72.0,8.0,45.0,59.0,2023-08-29 16:50:59,0.19.3,,,22.0,Dbus transport in pure rust.,144.0,144.0,17.0,15,False,2,MIT
24,meta-rust-bin,rust-embedded/meta-rust-bin,[],yocto-layers,https://github.com/rust-embedded/meta-rust-bin,https://github.com/rust-embedded/meta-rust-bin,2016-09-02 06:04:55,2025-04-04 06:02:17,2025-04-04 06:02:12,298,9.0,69.0,22,142.0,23.0,44.0,116.0,,,,,,Yocto layer for installing Rust toolchain from pre-built binaries.,,,42.0,12,False,2,
25,openleadr-rs,OpenLEADR/openleadr-rs,[],smart-grid-protocols,https://github.com/OpenLEADR/openleadr-rs,https://github.com/OpenLEADR/openleadr-rs,2024-10-01 13:50:22,2025-04-28 07:15:45,2025-04-28 07:07:24,121,30.0,7.0,8,148.0,17.0,30.0,32.0,2025-01-29 13:10:50,0.0.4,,,2.0,OpenADR 3.0 VTN and VEN implementation in Rust.,,,10.0,12,False,2,
26,duvet,awslabs/duvet,[],tools,https://github.com/awslabs/duvet,https://github.com/awslabs/duvet,2021-06-01 21:00:39,2025-04-25 03:54:18,2025-01-31 22:17:12,75,1.0,12.0,10,132.0,27.0,15.0,72.0,2024-06-08 00:09:19,0.3.0,,,2.0,A requirements traceability tool.,,,12.0,10,False,3,Apache-2.0
27,meta-slint,slint-ui/meta-slint,[],yocto-layers,https://github.com/slint-ui/meta-slint,https://github.com/slint-ui/meta-slint,2022-12-07 14:53:07,2025-04-23 16:55:14,2025-04-23 16:55:05,194,26.0,6.0,4,10.0,2.0,4.0,15.0,,,,,,A Yocto layer with recipes for building Slint.,,,5.0,10,False,3,MIT
28,sunspec_rs,PeterGrace/sunspec_rs,[],smart-grid-protocols,https://github.com/PeterGrace/sunspec_rs,https://github.com/PeterGrace/sunspec_rs,2023-09-04 16:11:10,2025-04-04 22:41:19,2025-04-04 22:41:06,83,4.0,,2,2.0,,,,2023-10-10 11:46:43,0.6.1,,,5.0,,1.0,1.0,,7,False,2,MIT
29,sunspec,bikeshedder/sunspec,[],smart-grid-protocols,https://github.com/bikeshedder/sunspec,https://github.com/bikeshedder/sunspec,2023-10-31 20:28:16,2025-03-13 20:16:49,2025-03-13 19:55:48,94,2.0,4.0,2,11.0,5.0,6.0,7.0,,,,,,Rust crate for accessing SunSpec compliant devices in a safe and convenient way.,1.0,1.0,3.0,6,False,3,Apache-2.0
30,dbus-bytestream,srwalter/dbus-bytestream,['dbus'],ipc,https://github.com/srwalter/dbus-bytestream,https://github.com/srwalter/dbus-bytestream,2015-06-28 04:47:09,2018-10-18 13:29:47,2018-10-18 13:29:46,72,,4.0,3,9.0,4.0,1.0,6.0,,,,,,Native D-Bus implementation for Rust.,6.0,6.0,4.0,6,False,3,LGPL-2.1
31,tokio-sunspec,lukaskirner/tokio-sunspec,[],smart-grid-protocols,https://github.com/lukaskirner/tokio-sunspec,https://github.com/lukaskirner/tokio-sunspec,2022-12-28 20:38:56,2023-03-22 14:31:23,2023-03-22 14:31:23,33,,2.0,1,10.0,,1.0,5.0,2023-03-22 13:34:10,0.2.2,,,2.0,A tokio-based SunSpec library.,,,3.0,6,False,3,Apache-2.0
32,dbus-pure,Arnavion/dbus-pure,['dbus'],ipc,https://github.com/Arnavion/dbus-pure,https://github.com/Arnavion/dbus-pure,2019-12-26 05:04:22,2025-04-04 01:16:42,2025-04-04 01:16:18,65,1.0,5.0,2,3.0,,,13.0,,,,,,Pure Rust implementation of a D-Bus client.,,,2.0,5,False,3,Apache-2.0
33,meta-rugix,silitics/meta-rugix,[],yocto-layers,https://github.com/silitics/meta-rugix,https://github.com/silitics/meta-rugix,2025-04-10 19:04:02,2025-04-26 11:28:06,2025-04-26 11:28:02,14,14.0,,1,,,,,,,,,,Yocto layers for Rugix.,,,,5,False,3,Apache-2.0
34,knxkit,knxkit/knxkit,[],home-automation-protocols,https://github.com/knxkit/knxkit,https://github.com/knxkit/knxkit,2024-12-27 13:29:21,2025-01-02 21:19:03,2025-01-02 21:18:58,49,,,1,,,,3.0,,,,,,,4.0,4.0,,4,False,3,EPL-2.0
35,eebus-rust,DerAndereAndi/eebus-rust,[],smart-grid-protocols,https://github.com/DerAndereAndi/eebus-rust,https://github.com/DerAndereAndi/eebus-rust,2022-03-22 15:35:15,2022-04-13 20:05:04,2022-04-13 20:04:58,31,,1.0,1,1.0,,,3.0,,,,,,Very basic EEBUS protocol implementation in Rust.,,,2.0,4,False,3,MIT
36,knx-rust,memoos/knx-rust,[],home-automation-protocols,https://github.com/memoos/knx-rust,https://github.com/memoos/knx-rust,2024-04-15 09:00:56,2024-05-02 11:49:55,2024-05-02 11:26:38,15,,1.0,1,,,,3.0,2024-05-02 11:27:58,0.0.1,,,1.0,Library implementing the KNXNet/Ip protocol.,,,,3,False,3,
37,libmburs,Lexicality/libmburs,[],smart-grid-protocols,https://github.com/Lexicality/libmburs,https://github.com/Lexicality/libmburs,2023-02-12 12:39:51,2024-12-22 18:24:10,2024-12-22 18:13:25,88,,,1,,,,1.0,,,,,,For when you want to talk to an m-bus device but dont want to use C.,,,,3,False,3,EUPL-1.2
38,mockalloc,diggsey/mockalloc,[],testing,https://github.com/Diggsey/mockalloc,https://github.com/Diggsey/mockalloc,2020-11-13 02:37:34,2024-03-20 12:49:57,2024-03-20 12:49:56,9,,2.0,2,1.0,,1.0,13.0,,,,,,Rust library for testing code relying on the global allocator.,28.0,28.0,2.0,2,False,3,
39,async-rustbus,cmaves/async-rustbus,['dbus'],ipc,https://github.com/cmaves/async-rustbus,https://github.com/cmaves/async-rustbus,2021-02-25 08:44:13,2023-08-13 03:17:40,2023-08-13 03:17:20,85,,1.0,1,3.0,3.0,1.0,2.0,,,,,,An asynchronous implementation of the DBus protocol based on rustbus.,4.0,4.0,,2,False,3,
