,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,trending
10,rust-skia,rust-skia/rust-skia,[],graphics,https://github.com/rust-skia/rust-skia,https://github.com/rust-skia/rust-skia,2018-12-07 07:25:31,2025-07-09 16:57:41,2025-07-09 16:57:40,3954,104.0,154.0,27,729.0,50.0,316.0,1605.0,,,315.0,4.0,100.0,Rust Bindings for the Skia Graphics Library.,9.0,9.0,64.0,23,True,1,MIT,
11,ntpd-rs,pendulum-project/ntpd-rs,[],time-sync,https://github.com/pendulum-project/ntpd-rs,https://github.com/pendulum-project/ntpd-rs,2022-03-04 19:15:34,2025-07-10 14:48:21,2025-07-10 14:43:23,2836,71.0,54.0,17,1631.0,45.0,235.0,907.0,2025-06-26 13:47:53,1.6.0,4204.0,116.0,33.0,"A full-featured implementation of the Network Time Protocol, including NTS support.",11.0,11.0,34.0,22,False,1,,
12,kas,siemens/kas,[],yocto,https://github.com/siemens/kas,https://github.com/siemens/kas,2017-06-13 12:11:57,2025-06-30 05:58:06,2025-06-26 12:31:50,1076,64.0,179.0,25,46.0,25.0,93.0,467.0,,,,,,Setup tool for bitbake based projects.,93.0,93.0,79.0,21,True,1,MIT,
13,linux-embedded-hal,rust-embedded/linux-embedded-hal,[],hal,https://github.com/rust-embedded/linux-embedded-hal,https://github.com/rust-embedded/linux-embedded-hal,2018-01-16 23:34:53,2025-02-07 09:21:52,2025-02-07 09:20:44,213,,46.0,21,78.0,21.0,21.0,268.0,2024-01-12 09:32:50,0.4.0,,,5.0,Implementation of the `embedded-hal` traits for Linux devices.,1471.0,1471.0,29.0,21,True,1,Apache-2.0,
14,rust-i2cdev,rust-embedded/rust-i2cdev,[],character-device-drivers,https://github.com/rust-embedded/rust-i2cdev,https://github.com/rust-embedded/rust-i2cdev,2015-08-19 04:21:00,2025-03-04 21:00:16,2025-03-04 20:56:31,219,,55.0,19,60.0,6.0,26.0,219.0,2023-08-09 07:58:32,0.6.0,,,3.0,Rust library for interfacing with i2c devices under Linux.,1051.0,1051.0,29.0,20,True,1,Apache-2.0,
15,actions-rust-cross,houseabsolute/actions-rust-cross,[],ci,https://github.com/houseabsolute/actions-rust-cross,https://github.com/houseabsolute/actions-rust-cross,2023-03-05 16:57:05,2025-06-19 19:25:33,2025-06-19 19:25:28,124,10.0,21.0,2,8.0,5.0,31.0,172.0,2025-04-12 14:16:00,1.0.4,,,23.0,GitHub Action to compile Rust with cross.,1132.0,1132.0,7.0,20,True,1,Apache-2.0,
16,ros2_rust,ros2-rust/ros2_rust,[],robotics,https://github.com/ros2-rust/ros2_rust,https://github.com/ros2-rust/ros2_rust,2017-11-26 10:45:09,2025-07-01 11:23:05,2025-07-01 11:23:05,284,8.0,159.0,42,286.0,58.0,128.0,1155.0,2023-11-28 15:50:17,0.4.1,,,5.0,Rust bindings for ROS 2.,,,48.0,19,True,1,Apache-2.0,
17,rosrust,adnanademovic/rosrust,[],robotics,https://github.com/adnanademovic/rosrust,https://github.com/adnanademovic/rosrust,2016-07-12 11:05:32,2025-02-03 22:32:01,2025-02-03 22:31:20,708,,77.0,22,104.0,49.0,72.0,765.0,2020-08-24 14:04:42,0.9.5,,,19.0,Pure Rust implementation of a ROS client library.,234.0,234.0,19.0,19,True,1,MIT,
18,rs-matter,project-chip/rs-matter,[],home-automation-protocols,https://github.com/project-chip/rs-matter,https://github.com/project-chip/rs-matter,2022-12-12 16:43:43,2025-07-04 09:28:11,2025-07-04 09:28:11,642,90.0,48.0,42,190.0,29.0,46.0,400.0,,,,,,Rust implementation of the Matter protocol. Status: Experimental.,7.0,7.0,27.0,18,True,1,Apache-2.0,
19,statime,pendulum-project/statime,[],time-sync,https://github.com/pendulum-project/statime,https://github.com/pendulum-project/statime,2022-01-04 09:29:54,2025-07-10 10:09:56,2025-06-26 12:13:38,855,27.0,26.0,11,632.0,19.0,34.0,246.0,2025-03-13 09:48:42,0.4.0,524.0,24.0,11.0,Implementation of the Precision Time Protocol (PTP) in Rust.,4.0,4.0,22.0,18,False,3,,
20,gpio-cdev,rust-embedded/gpio-cdev,[],character-device-drivers,https://github.com/rust-embedded/gpio-cdev,https://github.com/rust-embedded/gpio-cdev,2018-03-03 23:48:44,2025-07-03 07:05:28,2025-07-03 07:02:51,132,5.0,39.0,20,49.0,10.0,26.0,220.0,2023-09-12 07:13:07,0.6.0,,,3.0,Rust interface to the Linux GPIO Character Device API (/dev/gpiochip...).,499.0,499.0,18.0,18,True,3,Apache-2.0,
21,opcua,locka99/opcua,[],icsp,https://github.com/locka99/opcua,https://github.com/locka99/opcua,2017-01-07 09:48:09,2025-04-08 02:12:35,2024-10-08 20:19:22,2200,,145.0,20,198.0,111.0,127.0,547.0,,,,,,A client and server implementation of the OPC UA specification written in Rust.,54.0,54.0,31.0,17,True,1,MPL-2.0,
22,rust-spidev,rust-embedded/rust-spidev,[],character-device-drivers,https://github.com/rust-embedded/rust-spidev,https://github.com/rust-embedded/rust-spidev,2015-04-23 05:40:20,2025-03-04 10:07:15,2025-03-04 10:04:36,150,,32.0,16,37.0,1.0,10.0,128.0,2025-03-04 10:07:34,0.7.0,,,5.0,Rust library providing access to spidev devices under Linux.,819.0,819.0,16.0,17,True,3,Apache-2.0,
23,divan,nvzqz/divan,[],tools,https://github.com/nvzqz/divan,https://github.com/nvzqz/divan,2023-06-30 05:01:57,2025-04-17 04:02:42,2025-04-14 22:32:17,480,1.0,34.0,9,26.0,38.0,13.0,1181.0,,,,,,Fast and simple benchmarking for Rust projects.,1169.0,1169.0,9.0,16,True,2,Apache-2.0,-2.0
24,statig,mdeloof/statig,[],fsm,https://github.com/mdeloof/statig,https://github.com/mdeloof/statig,2021-08-19 20:51:31,2025-07-05 14:56:13,2025-07-05 14:56:07,164,11.0,29.0,6,31.0,4.0,34.0,687.0,,,,,,Hierarchical state machines for designing event-driven systems.,39.0,39.0,14.0,16,True,1,MIT,1.0
25,meta-rust,meta-rust/meta-rust,[],yocto-layers,https://github.com/meta-rust/meta-rust,https://github.com/meta-rust/meta-rust,2014-10-20 21:31:22,2025-06-29 19:18:01,2025-06-29 19:18:01,974,20.0,127.0,22,282.0,61.0,103.0,226.0,,,,,,OpenEmbedded/Yocto layer for Rust and Cargo.,,,64.0,16,True,1,MIT,
26,embedded-hal-mock,dbrgn/embedded-hal-mock,[],hal,https://github.com/dbrgn/embedded-hal-mock,https://github.com/dbrgn/embedded-hal-mock,2018-03-25 13:08:52,2025-04-26 20:05:33,2025-04-26 20:05:31,183,1.0,25.0,8,101.0,10.0,22.0,131.0,,,,,,Mocks for testing embedded-hal based drivers without hardware access.,992.0,992.0,24.0,16,True,3,Apache-2.0,
27,rust-ocpp,codelabsab/rust-ocpp,[],smart-grid-protocols,https://github.com/codelabsab/rust-ocpp,https://github.com/codelabsab/rust-ocpp,2021-06-04 08:32:04,2025-06-04 05:49:41,2025-06-04 05:49:41,301,2.0,26.0,8,145.0,4.0,23.0,91.0,2025-04-11 13:27:04,3.0.1,,,9.0,"Libraries for ocpp 1.6, 2.0.1 and 2.1.",25.0,25.0,11.0,16,False,1,Apache-2.0,-1.0
28,rugix,silitics/rugix,[],tools,https://github.com/silitics/rugix,https://github.com/silitics/rugix,2023-05-18 20:21:06,2025-07-10 13:26:24,2025-07-10 13:26:19,771,59.0,10.0,5,9.0,7.0,49.0,84.0,2025-05-28 13:40:09,0.8.11,210.0,11.0,30.0,A suite of open-source tools to build and deploy reliable embedded Linux devices at scale with efficient and secure..,,,5.0,16,False,2,Apache-2.0,
29,rust-industrial-io,fpagliughi/rust-industrial-io,[],iio,https://github.com/fpagliughi/rust-industrial-io,https://github.com/fpagliughi/rust-industrial-io,2018-10-07 23:42:44,2025-06-22 00:08:30,2025-06-21 21:53:03,163,13.0,23.0,4,19.0,6.0,10.0,52.0,2024-12-10 16:52:12,0.6.0,,,9.0,Rust interface to the Linux Industrial I/O subsystem.,16.0,16.0,13.0,16,False,1,MIT,
30,onnxruntime,nbigaouette/onnxruntime-rs,['x86_64'],aie,https://github.com/nbigaouette/onnxruntime-rs,https://github.com/nbigaouette/onnxruntime-rs,2020-08-04 03:04:15,2024-03-06 16:33:46,2022-07-19 00:34:22,447,,102.0,12,67.0,48.0,20.0,300.0,,,,,,Rust wrapper for Microsofts ONNX Runtime (version 1.8).,215.0,215.0,9.0,15,False,3,Apache-2.0,
31,rust-fsm,eugene-babichenko/rust-fsm,[],fsm,https://github.com/eugene-babichenko/rust-fsm,https://github.com/eugene-babichenko/rust-fsm,2019-01-20 12:51:27,2024-06-13 19:09:29,2024-06-13 19:09:17,98,,23.0,3,9.0,1.0,5.0,212.0,2024-07-11 18:15:10,0.7.0,,,4.0,Finite state machine framework for Rust with readable specifications.,160.0,160.0,6.0,15,False,2,MIT,
32,rustbus,KillingSpark/rustbus,['dbus'],ipc,https://github.com/KillingSpark/rustbus,https://github.com/KillingSpark/rustbus,2020-01-22 11:05:05,2024-06-22 14:58:39,2024-06-22 14:58:38,679,,15.0,5,72.0,8.0,45.0,59.0,2023-08-29 16:50:59,0.19.3,,,22.0,Dbus transport in pure rust.,149.0,149.0,17.0,15,False,2,MIT,
33,ftdi-embedded-hal,ftdi-rs/ftdi-embedded-hal,[],chip-drivers,https://github.com/ftdi-rs/ftdi-embedded-hal,https://github.com/ftdi-rs/ftdi-embedded-hal,2021-09-26 16:00:45,2025-06-01 21:19:28,2025-06-01 21:18:47,115,4.0,20.0,3,60.0,4.0,8.0,40.0,2025-06-01 21:19:28,0.23.2,,,19.0,Implementation of Rust Embedded HAL traits for FTDI devices.,58.0,58.0,14.0,15,False,1,MIT,
34,dbus-rs,diwic/dbus-rs,['dbus'],ipc,https://github.com/diwic/dbus-rs,https://github.com/diwic/dbus-rs,2014-11-23 12:14:49,2025-04-07 20:03:24,2025-04-07 20:03:21,1140,,135.0,10,193.0,13.0,249.0,627.0,,,,,,D-Bus binding for the Rust language.,4.0,4.0,93.0,14,False,2,,
35,r2r,sequenceplanner/r2r,[],robotics,https://github.com/sequenceplanner/r2r,https://github.com/sequenceplanner/r2r,2019-08-20 09:10:16,2025-04-22 08:30:50,2025-04-22 08:27:18,346,3.0,48.0,14,65.0,9.0,51.0,373.0,,,,,,Minimal ROS 2 Rust bindings.,152.0,152.0,29.0,14,False,3,,
36,cargo-call-stack,japaric/cargo-call-stack,[],tools,https://github.com/japaric/cargo-call-stack,https://github.com/japaric/cargo-call-stack,2018-12-03 01:52:30,2024-10-28 17:29:02,2024-10-28 17:27:44,192,,51.0,11,57.0,37.0,23.0,631.0,,,,,,Whole program static stack analysis.,1.0,1.0,11.0,12,True,3,Apache-2.0,
37,meta-rust-bin,rust-embedded/meta-rust-bin,[],yocto-layers,https://github.com/rust-embedded/meta-rust-bin,https://github.com/rust-embedded/meta-rust-bin,2016-09-02 06:04:55,2025-06-27 06:38:46,2025-06-27 06:38:32,302,4.0,71.0,22,145.0,25.0,44.0,117.0,,,,,,Yocto layer for installing Rust toolchain from pre-built binaries.,,,42.0,12,False,2,,
38,openleadr-rs,OpenLEADR/openleadr-rs,[],smart-grid-protocols,https://github.com/OpenLEADR/openleadr-rs,https://github.com/OpenLEADR/openleadr-rs,2024-10-01 13:50:22,2025-07-10 10:36:01,2025-07-10 10:27:59,154,40.0,8.0,9,187.0,17.0,34.0,44.0,2025-01-29 13:10:50,0.0.4,,,2.0,OpenADR 3.0 VTN and VEN implementation in Rust.,,,11.0,12,False,2,,
39,duvet,awslabs/duvet,[],tools,https://github.com/awslabs/duvet,https://github.com/awslabs/duvet,2021-06-01 21:00:39,2025-06-11 22:18:27,2025-05-22 23:19:48,77,2.0,16.0,10,136.0,28.0,15.0,77.0,2024-06-08 00:09:19,0.3.0,,,2.0,A requirements traceability tool.,,,13.0,10,False,3,Apache-2.0,
40,mctp-rs,CodeConstruct/mctp-rs,[],platform-management,https://github.com/CodeConstruct/mctp-rs,https://github.com/CodeConstruct/mctp-rs,2024-03-18 22:52:25,2025-07-04 08:30:12,2025-07-04 08:25:30,174,121.0,3.0,3,8.0,,1.0,8.0,,,,,,"Rust crates for MCTP protocol support, on Linux and embedded.",8.0,8.0,2.0,10,False,1,Apache-2.0,
41,meta-slint,slint-ui/meta-slint,[],yocto-layers,https://github.com/slint-ui/meta-slint,https://github.com/slint-ui/meta-slint,2022-12-07 14:53:07,2025-06-25 18:32:28,2025-06-25 18:32:10,199,6.0,7.0,4,13.0,2.0,4.0,16.0,,,,,,A Yocto layer with recipes for building Slint.,,,6.0,9,False,3,MIT,
42,finny,hashmismatch/finny.rs,[],fsm,https://github.com/hashmismatch/finny.rs,https://github.com/hashmismatch/finny.rs,2017-02-11 12:47:58,2024-04-13 15:26:44,2022-01-24 20:53:44,86,,6.0,3,12.0,3.0,6.0,73.0,2022-01-24 20:58:38,0.2.0,,,3.0,Finite State Machines for Rust.,3.0,3.0,1.0,8,False,3,,
43,rust-extfsm,przygienda/rust-extfsm,[],fsm,https://github.com/przygienda/rust-extfsm,https://github.com/przygienda/rust-extfsm,2017-07-05 05:56:13,2022-01-30 19:10:29,2021-06-06 16:32:07,52,,7.0,3,4.0,,2.0,49.0,2018-08-08 05:45:30,0.8.0,,,1.0,Extended Finite State Machine library in Rust with internal event queue and entry/exit transitions.,,,5.0,8,False,3,Apache-2.0,
44,snmp2,roboplc/snmp2,[],others,https://github.com/roboplc/snmp2,https://github.com/roboplc/snmp2,2024-12-28 20:04:55,2025-04-02 21:34:29,2025-04-02 21:34:29,85,,5.0,1,5.0,2.0,3.0,35.0,,,,,,Dependency-free basic SNMP v1/v2/v3 client in Rust.,3.0,3.0,6.0,8,False,1,Apache-2.0,
45,sunspec_rs,PeterGrace/sunspec_rs,[],smart-grid-protocols,https://github.com/PeterGrace/sunspec_rs,https://github.com/PeterGrace/sunspec_rs,2023-09-04 16:11:10,2025-07-02 00:40:58,2025-07-02 00:40:50,112,29.0,,2,3.0,,,,2023-10-10 11:46:43,0.6.1,,,5.0,,1.0,1.0,,8,False,2,MIT,
46,memfault-linux-sdk,memfault/memfault-linux-sdk,[],ota-integration,https://github.com/memfault/memfault-linux-sdk,https://github.com/memfault/memfault-linux-sdk,2022-07-18 13:03:21,2025-06-12 21:12:50,2025-06-12 21:10:24,36,3.0,7.0,13,1.0,,,37.0,,,,,,"Memfault SDK for embedded Linux systems. Observability, logging, crash reporting, and updating all in one service...",,,3.0,7,False,1,,
47,dbus-pure,Arnavion/dbus-pure,['dbus'],ipc,https://github.com/Arnavion/dbus-pure,https://github.com/Arnavion/dbus-pure,2019-12-26 05:04:22,2025-06-30 01:39:39,2025-06-30 01:39:15,69,4.0,5.0,2,3.0,,,13.0,,,,,,Pure Rust implementation of a D-Bus client.,,,2.0,6,False,3,Apache-2.0,
48,sunspec,bikeshedder/sunspec,[],smart-grid-protocols,https://github.com/bikeshedder/sunspec,https://github.com/bikeshedder/sunspec,2023-10-31 20:28:16,2025-03-13 20:16:49,2025-03-13 19:55:48,94,,4.0,2,11.0,5.0,6.0,8.0,,,,,,Rust crate for accessing SunSpec compliant devices in a safe and convenient way.,1.0,1.0,3.0,6,False,3,Apache-2.0,
49,dbus-bytestream,srwalter/dbus-bytestream,['dbus'],ipc,https://github.com/srwalter/dbus-bytestream,https://github.com/srwalter/dbus-bytestream,2015-06-28 04:47:09,2018-10-18 13:29:47,2018-10-18 13:29:46,72,,4.0,3,9.0,4.0,1.0,6.0,,,,,,Native D-Bus implementation for Rust.,6.0,6.0,4.0,6,False,3,LGPL-2.1,
50,tokio-sunspec,lukaskirner/tokio-sunspec,[],smart-grid-protocols,https://github.com/lukaskirner/tokio-sunspec,https://github.com/lukaskirner/tokio-sunspec,2022-12-28 20:38:56,2023-03-22 14:31:23,2023-03-22 14:31:23,33,,2.0,1,10.0,,1.0,5.0,2023-03-22 13:34:10,0.2.2,,,2.0,A tokio-based SunSpec library.,,,3.0,6,False,3,Apache-2.0,
51,snmp_mp,davedufresne/modern_snmp,[],others,https://github.com/davedufresne/modern_snmp,https://github.com/davedufresne/modern_snmp,2020-07-18 13:10:42,2024-08-23 15:39:30,2024-08-23 15:36:50,33,,5.0,2,4.0,1.0,1.0,28.0,,,,,,A pure-Rust library for SNMPv3.,,,2.0,5,False,3,Apache-2.0,
52,tss2-fapi-rs,tpm2-software/rust-tss-fapi,[],tpm,https://github.com/tpm2-software/rust-tss-fapi,https://github.com/tpm2-software/rust-tss-fapi,2024-08-16 13:18:55,2025-04-24 14:25:22,2025-04-24 14:22:50,40,9.0,,3,2.0,,,9.0,2025-04-24 14:26:37,0.5.8,1.0,0.0,6.0,Rust wrapper for the TSS 2.0 FAPI.,,,2.0,5,False,1,,
53,knxkit,knxkit/knxkit,[],home-automation-protocols,https://github.com/knxkit/knxkit,https://github.com/knxkit/knxkit,2024-12-27 13:29:21,2025-01-02 21:19:03,2025-01-02 21:18:58,49,,,1,,,,4.0,,,,,,,4.0,4.0,,5,False,3,EPL-2.0,
54,libmburs,Lexicality/libmburs,[],smart-grid-protocols,https://github.com/Lexicality/libmburs,https://github.com/Lexicality/libmburs,2023-02-12 12:39:51,2025-07-02 21:54:45,2025-07-02 21:53:39,105,17.0,,1,,,,1.0,,,,,,For when you want to talk to an m-bus device but dont want to use C.,,,,5,False,3,EUPL-1.2,
55,connman-rs,jmagnuson/connman-rs,['dbus'],net-man,https://github.com/jmagnuson/connman-rs,https://github.com/jmagnuson/connman-rs,2019-04-30 04:59:46,2023-01-16 14:38:00,2022-04-26 03:15:47,49,,3.0,2,14.0,1.0,1.0,5.0,,,,,,ConnMan D-Bus bindings in Rust.,,,2.0,4,False,1,Apache-2.0,
56,eebus-rust,DerAndereAndi/eebus-rust,[],smart-grid-protocols,https://github.com/DerAndereAndi/eebus-rust,https://github.com/DerAndereAndi/eebus-rust,2022-03-22 15:35:15,2022-04-13 20:05:04,2022-04-13 20:04:58,31,,1.0,1,1.0,,,3.0,,,,,,Very basic EEBUS protocol implementation in Rust.,,,2.0,4,False,3,MIT,
57,meta-rugix,silitics/meta-rugix,[],yocto-layers,https://github.com/silitics/meta-rugix,https://github.com/silitics/meta-rugix,2025-04-10 19:04:02,2025-04-26 11:28:06,2025-04-26 11:28:02,14,14.0,,1,,,,,,,,,,Yocto layers for Rugix.,,,,4,False,3,Apache-2.0,
58,knx-rust,memoos/knx-rust,[],home-automation-protocols,https://github.com/memoos/knx-rust,https://github.com/memoos/knx-rust,2024-04-15 09:00:56,2024-05-02 11:49:55,2024-05-02 11:26:38,15,,1.0,1,,,,3.0,2024-05-02 11:27:58,0.0.1,,,1.0,Library implementing the KNXNet/Ip protocol.,,,,3,False,3,,
59,mockalloc,diggsey/mockalloc,[],testing,https://github.com/Diggsey/mockalloc,https://github.com/Diggsey/mockalloc,2020-11-13 02:37:34,2024-03-20 12:49:57,2024-03-20 12:49:56,9,,2.0,2,1.0,,1.0,13.0,,,,,,Rust library for testing code relying on the global allocator.,28.0,28.0,2.0,2,False,3,,
60,pps-time,pendulum-project/pps-time,[],time-sync,https://github.com/pendulum-project/pps-time,https://github.com/pendulum-project/pps-time,2024-12-12 15:10:51,2025-01-10 14:14:10,2025-01-10 14:13:30,14,,1.0,7,,1.0,,2.0,,,,,,A Rust interface for PPS devices.,2.0,2.0,,2,False,3,,
61,async-rustbus,cmaves/async-rustbus,['dbus'],ipc,https://github.com/cmaves/async-rustbus,https://github.com/cmaves/async-rustbus,2021-02-25 08:44:13,2023-08-13 03:17:40,2023-08-13 03:17:20,85,,1.0,1,3.0,3.0,1.0,2.0,,,,,,An asynchronous implementation of the DBus protocol based on rustbus.,4.0,4.0,,2,False,3,,
