,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,new_addition
18,statime,pendulum-project/statime,[],time-sync,https://github.com/pendulum-project/statime,https://github.com/pendulum-project/statime,2022-01-04 09:29:54,2025-05-06 10:24:05,2025-04-24 14:03:16,841,53.0,24.0,10,615.0,19.0,31.0,226.0,2025-03-13 09:48:42,0.4.0,428.0,22.0,11.0,Implementation of the Precision Time Protocol (PTP) in Rust.,4.0,4.0,21.0,19,False,3,,
19,actions-rust-cross,houseabsolute/actions-rust-cross,[],ci,https://github.com/houseabsolute/actions-rust-cross,https://github.com/houseabsolute/actions-rust-cross,2023-03-05 16:57:05,2025-04-12 14:17:25,2025-04-12 14:17:24,123,24.0,20.0,2,8.0,5.0,30.0,163.0,2025-04-12 14:16:00,1.0.4,,,23.0,GitHub Action to compile Rust with cross.,1031.0,1031.0,7.0,19,True,1,Apache-2.0,
20,opcua,locka99/opcua,[],icsp,https://github.com/locka99/opcua,https://github.com/locka99/opcua,2017-01-07 09:48:09,2025-04-08 02:12:35,2024-10-08 20:19:22,2200,,144.0,20,198.0,111.0,126.0,542.0,,,,,,A client and server implementation of the OPC UA specification written in Rust.,49.0,49.0,31.0,18,True,1,MPL-2.0,True
21,gpio-cdev,rust-embedded/gpio-cdev,[],character-device-drivers,https://github.com/rust-embedded/gpio-cdev,https://github.com/rust-embedded/gpio-cdev,2018-03-03 23:48:44,2024-05-25 03:14:21,2023-09-12 07:00:42,127,,37.0,21,47.0,11.0,25.0,219.0,2023-09-12 07:13:07,0.6.0,,,3.0,Rust interface to the Linux GPIO Character Device API (/dev/gpiochip...).,491.0,491.0,17.0,18,False,3,Apache-2.0,
22,rust-spidev,rust-embedded/rust-spidev,[],character-device-drivers,https://github.com/rust-embedded/rust-spidev,https://github.com/rust-embedded/rust-spidev,2015-04-23 05:40:20,2025-03-04 10:07:15,2025-03-04 10:04:36,150,8.0,32.0,16,37.0,1.0,10.0,125.0,2025-03-04 10:07:34,0.7.0,,,5.0,Rust library providing access to spidev devices under Linux.,810.0,810.0,16.0,18,True,3,Apache-2.0,
23,rs-matter,project-chip/rs-matter,[],home-automation-protocols,https://github.com/project-chip/rs-matter,https://github.com/project-chip/rs-matter,2022-12-12 16:43:43,2025-04-22 07:29:10,2025-04-22 07:29:10,555,22.0,46.0,44,174.0,26.0,31.0,378.0,,,,,,Rust implementation of the Matter protocol. Status: Experimental.,7.0,7.0,27.0,17,True,1,Apache-2.0,
24,embedded-hal-mock,dbrgn/embedded-hal-mock,[],hal,https://github.com/dbrgn/embedded-hal-mock,https://github.com/dbrgn/embedded-hal-mock,2018-03-25 13:08:52,2025-04-26 20:05:33,2025-04-26 20:05:31,183,2.0,25.0,8,101.0,10.0,22.0,127.0,,,,,,Mocks for testing embedded-hal based drivers without hardware access.,931.0,931.0,24.0,17,True,3,Apache-2.0,
25,rust-ocpp,codelabsab/rust-ocpp,[],smart-grid-protocols,https://github.com/codelabsab/rust-ocpp,https://github.com/codelabsab/rust-ocpp,2021-06-04 08:32:04,2025-04-29 05:58:41,2025-04-11 13:26:32,299,4.0,24.0,8,142.0,4.0,23.0,87.0,2025-04-11 13:27:04,3.0.1,,,9.0,Libraries for ocpp 1.6 and 2.0.1.,24.0,24.0,10.0,17,False,1,Apache-2.0,
26,rugix,silitics/rugix,[],tools,https://github.com/silitics/rugix,https://github.com/silitics/rugix,2023-05-18 20:21:06,2025-05-01 13:36:49,2025-05-01 12:15:11,723,135.0,7.0,4,7.0,7.0,49.0,77.0,2025-05-01 13:36:49,0.8.7,126.0,7.0,28.0,A suite of open-source tools to build and deploy reliable embedded Linux devices at scale with efficient and secure..,,,4.0,16,False,3,Apache-2.0,
27,statig,mdeloof/statig,[],fsm,https://github.com/mdeloof/statig,https://github.com/mdeloof/statig,2021-08-19 20:51:31,2025-05-04 15:39:33,2025-04-05 08:37:52,153,6.0,27.0,6,26.0,8.0,25.0,657.0,,,,,,Hierarchical state machines for designing event-driven systems.,33.0,33.0,13.0,15,True,1,MIT,
28,dbus-rs,diwic/dbus-rs,['dbus'],ipc,https://github.com/diwic/dbus-rs,https://github.com/diwic/dbus-rs,2014-11-23 12:14:49,2025-04-07 20:03:24,2025-04-07 20:03:21,1140,4.0,135.0,10,193.0,14.0,248.0,617.0,,,,,,D-Bus binding for the Rust language.,4.0,4.0,93.0,15,False,2,,
29,r2r,sequenceplanner/r2r,[],robotics,https://github.com/sequenceplanner/r2r,https://github.com/sequenceplanner/r2r,2019-08-20 09:10:16,2025-04-22 08:30:50,2025-04-22 08:27:18,346,3.0,48.0,14,64.0,9.0,51.0,361.0,,,,,,Minimal ROS 2 Rust bindings.,147.0,147.0,29.0,15,False,3,,
30,onnxruntime,nbigaouette/onnxruntime-rs,['x86_64'],aie,https://github.com/nbigaouette/onnxruntime-rs,https://github.com/nbigaouette/onnxruntime-rs,2020-08-04 03:04:15,2024-03-06 16:33:46,2022-07-19 00:34:22,447,,102.0,12,67.0,48.0,20.0,291.0,,,,,,Rust wrapper for Microsofts ONNX Runtime (version 1.8).,208.0,208.0,9.0,15,False,3,Apache-2.0,True
31,rust-fsm,eugene-babichenko/rust-fsm,[],fsm,https://github.com/eugene-babichenko/rust-fsm,https://github.com/eugene-babichenko/rust-fsm,2019-01-20 12:51:27,2024-06-13 19:09:29,2024-06-13 19:09:17,98,,22.0,3,6.0,1.0,5.0,205.0,2024-07-11 18:15:10,0.7.0,,,4.0,Finite state machine framework for Rust with readable specifications.,159.0,159.0,6.0,15,True,1,MIT,
32,rustbus,KillingSpark/rustbus,['dbus'],ipc,https://github.com/KillingSpark/rustbus,https://github.com/KillingSpark/rustbus,2020-01-22 11:05:05,2024-06-22 14:58:39,2024-06-22 14:58:38,679,,15.0,5,72.0,8.0,45.0,59.0,2023-08-29 16:50:59,0.19.3,,,22.0,Dbus transport in pure rust.,145.0,145.0,17.0,15,False,2,MIT,
33,rust-industrial-io,fpagliughi/rust-industrial-io,[],iio,https://github.com/fpagliughi/rust-industrial-io,https://github.com/fpagliughi/rust-industrial-io,2018-10-07 23:42:44,2024-12-10 16:52:12,2024-12-10 15:40:37,150,,21.0,4,17.0,6.0,9.0,51.0,2024-12-10 16:52:12,0.6.0,,,9.0,Rust interface to the Linux Industrial I/O subsystem.,15.0,15.0,11.0,15,False,1,MIT,
34,ftdi-embedded-hal,ftdi-rs/ftdi-embedded-hal,[],chip-drivers,https://github.com/ftdi-rs/ftdi-embedded-hal,https://github.com/ftdi-rs/ftdi-embedded-hal,2021-09-26 16:00:45,2025-03-29 21:09:49,2025-03-29 21:05:55,111,6.0,19.0,3,57.0,4.0,8.0,37.0,2025-03-29 21:09:49,0.23.1,,,18.0,Implementation of Rust Embedded HAL traits for FTDI devices.,50.0,50.0,13.0,15,False,1,MIT,
35,meta-rust,meta-rust/meta-rust,[],yocto-layers,https://github.com/meta-rust/meta-rust,https://github.com/meta-rust/meta-rust,2014-10-20 21:31:22,2025-03-13 14:16:49,2025-03-13 14:15:16,954,2.0,126.0,23,277.0,63.0,101.0,223.0,,,,,,OpenEmbedded/Yocto layer for Rust and Cargo.,,,64.0,14,True,1,MIT,
36,meta-rust-bin,rust-embedded/meta-rust-bin,[],yocto-layers,https://github.com/rust-embedded/meta-rust-bin,https://github.com/rust-embedded/meta-rust-bin,2016-09-02 06:04:55,2025-04-04 06:02:17,2025-04-04 06:02:12,298,7.0,70.0,22,142.0,23.0,44.0,116.0,,,,,,Yocto layer for installing Rust toolchain from pre-built binaries.,,,42.0,12,False,2,,
37,openleadr-rs,OpenLEADR/openleadr-rs,[],smart-grid-protocols,https://github.com/OpenLEADR/openleadr-rs,https://github.com/OpenLEADR/openleadr-rs,2024-10-01 13:50:22,2025-05-06 12:38:07,2025-05-06 12:30:04,125,34.0,7.0,8,152.0,17.0,31.0,34.0,2025-01-29 13:10:50,0.0.4,,,2.0,OpenADR 3.0 VTN and VEN implementation in Rust.,,,10.0,12,False,2,,
38,duvet,awslabs/duvet,[],tools,https://github.com/awslabs/duvet,https://github.com/awslabs/duvet,2021-06-01 21:00:39,2025-04-25 03:54:18,2025-01-31 22:17:12,75,,12.0,10,132.0,27.0,15.0,72.0,2024-06-08 00:09:19,0.3.0,,,2.0,A requirements traceability tool.,,,12.0,11,False,3,Apache-2.0,
39,meta-slint,slint-ui/meta-slint,[],yocto-layers,https://github.com/slint-ui/meta-slint,https://github.com/slint-ui/meta-slint,2022-12-07 14:53:07,2025-04-23 16:55:14,2025-04-23 16:55:05,194,26.0,6.0,4,10.0,2.0,4.0,15.0,,,,,,A Yocto layer with recipes for building Slint.,,,5.0,10,False,3,MIT,
40,finny,hashmismatch/finny.rs,[],fsm,https://github.com/hashmismatch/finny.rs,https://github.com/hashmismatch/finny.rs,2017-02-11 12:47:58,2024-04-13 15:26:44,2022-01-24 20:53:44,86,,6.0,3,12.0,3.0,6.0,73.0,2022-01-24 20:58:38,0.2.0,,,3.0,Finite State Machines for Rust.,3.0,3.0,1.0,8,False,3,,
41,rust-extfsm,przygienda/rust-extfsm,[],fsm,https://github.com/przygienda/rust-extfsm,https://github.com/przygienda/rust-extfsm,2017-07-05 05:56:13,2022-01-30 19:10:29,2021-06-06 16:32:07,52,,7.0,3,4.0,,2.0,49.0,2018-08-08 05:45:30,0.8.0,,,1.0,Extended Finite State Machine library in Rust with internal event queue and entry/exit transitions.,,,5.0,8,False,3,Apache-2.0,
42,memfault-linux-sdk,memfault/memfault-linux-sdk,[],ota-integration,https://github.com/memfault/memfault-linux-sdk,https://github.com/memfault/memfault-linux-sdk,2022-07-18 13:03:21,2025-04-10 18:44:55,2025-04-10 18:43:16,33,3.0,6.0,13,1.0,,,34.0,,,,,,"Memfault SDK for embedded Linux systems. Observability, logging, crash reporting, and updating all in one service...",,,3.0,7,False,1,,
43,tss2-fapi-rs,tpm2-software/rust-tss-fapi,[],tpm,https://github.com/tpm2-software/rust-tss-fapi,https://github.com/tpm2-software/rust-tss-fapi,2024-08-16 13:18:55,2025-04-24 14:25:22,2025-04-24 14:22:50,40,11.0,,3,2.0,,,9.0,2025-04-24 14:26:37,0.5.8,1.0,0.0,6.0,Rust wrapper for the TSS 2.0 FAPI.,,,2.0,7,False,1,,True
44,mctp-rs,CodeConstruct/mctp-rs,[],platform-management,https://github.com/CodeConstruct/mctp-rs,https://github.com/CodeConstruct/mctp-rs,2024-03-18 22:52:25,2025-05-01 07:56:06,2025-05-01 07:55:19,123,71.0,2.0,2,4.0,,1.0,7.0,,,,,,"Rust crates for MCTP protocol support, on Linux and embedded.",3.0,3.0,2.0,7,False,1,Apache-2.0,
45,sunspec_rs,PeterGrace/sunspec_rs,[],smart-grid-protocols,https://github.com/PeterGrace/sunspec_rs,https://github.com/PeterGrace/sunspec_rs,2023-09-04 16:11:10,2025-04-04 22:41:19,2025-04-04 22:41:06,83,4.0,,2,2.0,,,,2023-10-10 11:46:43,0.6.1,,,5.0,,1.0,1.0,,7,False,2,MIT,
46,snmp2,roboplc/snmp2,[],others,https://github.com/roboplc/snmp2,https://github.com/roboplc/snmp2,2024-12-28 20:04:55,2025-04-02 21:34:29,2025-04-02 21:34:29,85,2.0,5.0,1,5.0,,3.0,31.0,,,,,,Dependency-free basic SNMP v1/v2/v3 client in Rust.,2.0,2.0,6.0,6,False,1,Apache-2.0,True
47,sunspec,bikeshedder/sunspec,[],smart-grid-protocols,https://github.com/bikeshedder/sunspec,https://github.com/bikeshedder/sunspec,2023-10-31 20:28:16,2025-03-13 20:16:49,2025-03-13 19:55:48,94,2.0,4.0,2,11.0,5.0,6.0,8.0,,,,,,Rust crate for accessing SunSpec compliant devices in a safe and convenient way.,1.0,1.0,3.0,6,False,3,Apache-2.0,
48,dbus-bytestream,srwalter/dbus-bytestream,['dbus'],ipc,https://github.com/srwalter/dbus-bytestream,https://github.com/srwalter/dbus-bytestream,2015-06-28 04:47:09,2018-10-18 13:29:47,2018-10-18 13:29:46,72,,4.0,3,9.0,4.0,1.0,6.0,,,,,,Native D-Bus implementation for Rust.,6.0,6.0,4.0,6,False,3,LGPL-2.1,
49,tokio-sunspec,lukaskirner/tokio-sunspec,[],smart-grid-protocols,https://github.com/lukaskirner/tokio-sunspec,https://github.com/lukaskirner/tokio-sunspec,2022-12-28 20:38:56,2023-03-22 14:31:23,2023-03-22 14:31:23,33,,2.0,1,10.0,,1.0,5.0,2023-03-22 13:34:10,0.2.2,,,2.0,A tokio-based SunSpec library.,,,3.0,6,False,3,Apache-2.0,
50,snmp_mp,davedufresne/modern_snmp,[],others,https://github.com/davedufresne/modern_snmp,https://github.com/davedufresne/modern_snmp,2020-07-18 13:10:42,2024-08-23 15:39:30,2024-08-23 15:36:50,33,,5.0,2,4.0,1.0,1.0,26.0,,,,,,A pure-Rust library for SNMPv3.,,,2.0,5,False,3,Apache-2.0,True
51,dbus-pure,Arnavion/dbus-pure,['dbus'],ipc,https://github.com/Arnavion/dbus-pure,https://github.com/Arnavion/dbus-pure,2019-12-26 05:04:22,2025-04-04 01:16:42,2025-04-04 01:16:18,65,1.0,5.0,2,3.0,,,13.0,,,,,,Pure Rust implementation of a D-Bus client.,,,2.0,5,False,3,Apache-2.0,
52,meta-rugix,silitics/meta-rugix,[],yocto-layers,https://github.com/silitics/meta-rugix,https://github.com/silitics/meta-rugix,2025-04-10 19:04:02,2025-04-26 11:28:06,2025-04-26 11:28:02,14,14.0,,1,,,,,,,,,,Yocto layers for Rugix.,,,,5,False,3,Apache-2.0,
53,connman-rs,jmagnuson/connman-rs,['dbus'],net-man,https://github.com/jmagnuson/connman-rs,https://github.com/jmagnuson/connman-rs,2019-04-30 04:59:46,2023-01-16 14:38:00,2022-04-26 03:15:47,49,,3.0,2,14.0,1.0,1.0,5.0,,,,,,ConnMan D-Bus bindings in Rust.,,,2.0,4,False,1,Apache-2.0,
54,knxkit,knxkit/knxkit,[],home-automation-protocols,https://github.com/knxkit/knxkit,https://github.com/knxkit/knxkit,2024-12-27 13:29:21,2025-01-02 21:19:03,2025-01-02 21:18:58,49,,,1,,,,3.0,,,,,,,4.0,4.0,,4,False,3,EPL-2.0,
55,eebus-rust,DerAndereAndi/eebus-rust,[],smart-grid-protocols,https://github.com/DerAndereAndi/eebus-rust,https://github.com/DerAndereAndi/eebus-rust,2022-03-22 15:35:15,2022-04-13 20:05:04,2022-04-13 20:04:58,31,,1.0,1,1.0,,,3.0,,,,,,Very basic EEBUS protocol implementation in Rust.,,,2.0,4,False,3,MIT,
56,knx-rust,memoos/knx-rust,[],home-automation-protocols,https://github.com/memoos/knx-rust,https://github.com/memoos/knx-rust,2024-04-15 09:00:56,2024-05-02 11:49:55,2024-05-02 11:26:38,15,,1.0,1,,,,3.0,2024-05-02 11:27:58,0.0.1,,,1.0,Library implementing the KNXNet/Ip protocol.,,,,3,False,3,,
57,libmburs,Lexicality/libmburs,[],smart-grid-protocols,https://github.com/Lexicality/libmburs,https://github.com/Lexicality/libmburs,2023-02-12 12:39:51,2024-12-22 18:24:10,2024-12-22 18:13:25,88,,,1,,,,1.0,,,,,,For when you want to talk to an m-bus device but dont want to use C.,,,,3,False,3,EUPL-1.2,
58,mockalloc,diggsey/mockalloc,[],testing,https://github.com/Diggsey/mockalloc,https://github.com/Diggsey/mockalloc,2020-11-13 02:37:34,2024-03-20 12:49:57,2024-03-20 12:49:56,9,,2.0,2,1.0,,1.0,13.0,,,,,,Rust library for testing code relying on the global allocator.,28.0,28.0,2.0,2,False,3,,
59,async-rustbus,cmaves/async-rustbus,['dbus'],ipc,https://github.com/cmaves/async-rustbus,https://github.com/cmaves/async-rustbus,2021-02-25 08:44:13,2023-08-13 03:17:40,2023-08-13 03:17:20,85,,1.0,1,3.0,3.0,1.0,2.0,,,,,,An asynchronous implementation of the DBus protocol based on rustbus.,4.0,4.0,,2,False,3,,
60,pps-time,pendulum-project/pps-time,[],time-sync,https://github.com/pendulum-project/pps-time,https://github.com/pendulum-project/pps-time,2024-12-12 15:10:51,2025-01-10 14:14:10,2025-01-10 14:13:30,14,,1.0,7,,1.0,,2.0,,,,,,A Rust interface for PPS devices.,2.0,2.0,,1,False,3,,
